n_cell_types,n_genes,n_cells,exp_num,method,time
3,20000,10000,exp_10,Cepo1000,12322.382000000005
3,20000,10000,exp_10,Voom,423.75
3,20000,10000,exp_10,MAST,5166.154999999999
3,20000,10000,exp_10,DD,257.50500000000466
3,20000,10000,exp_10,Limma,61.841999999996915
3,20000,10000,exp_10,Wilcox,3630.1500000000015
3,20000,10000,exp_10,Ttest,71.37099999999919
3,20000,10000,exp_10,M3Drop,419.4449999999997
3,20000,10000,exp_10,edgeR,11094.295000000006
3,20000,10000,exp_10,LR,9507.595000000001
3,20000,10000,exp_10,bimod,9836.767000000007
3,20000,10000,exp_10,ROC,15913.508000000002
